247,Micronesian Megapode
248,Nicobar Megapode
249,Philippine Megapode
250,Sula Megapode
251,Tanimbar Megapode
252,Dusky Megapode
253,Biak Scrubfowl
254,Melanesian Megapode
255,Vanuatu Megapode
256,New Guinea Scrubfowl
257,Orange-footed Scrubfowl
258,Plain Chachalaca
259,Grey-headed Chachalaca
260,Chestnut-winged Chachalaca
261,Rufous-vented Chachalaca
262,Rufous-headed Chachalaca
263,Rufous-bellied Chachalaca
264,West Mexican Chachalaca
265,Chaco Chachalaca
266,White-bellied Chachalaca
267,Speckled Chachalaca
268,East Brazilian Chachalaca
269,Scaled Chachalaca
270,Colombian Chachalaca
271,Little Chachalaca
272,Chestnut-headed Chachalaca
273,Buff-browed Chachalaca
274,Band-tailed Guan
275,Bearded Guan
276,Baudo Guan
277,Andean Guan
278,Marail Guan
279,Rusty-margined Guan
280,Red-faced Guan
281,Crested Guan
282,Cauca Guan
283,White-winged Guan
284,Spix's Guan
285,Dusky-legged Guan
286,White-crested Guan
287,Chestnut-bellied Guan
288,White-browed Guan
289,Trinidad Piping Guan
290,Blue-throated Piping Guan
291,Red-throated Piping Guan
292,Black-fronted Piping Guan
293,Wattled Guan
294,Black Guan
295,Sickle-winged Guan
296,Highland Guan
297,Horned Guan
298,Nocturnal Curassow
299,Crestless Curassow
300,Salvin's Curassow
301,Razor-billed Curassow
302,Alagoas Curassow
303,Helmeted Curassow
304,Horned Curassow
305,Sira Curassow
306,Great Curassow
307,Blue-billed Curassow
308,Yellow-knobbed Curassow
309,Black Curassow
310,Wattled Curassow
311,Bare-faced Curassow
312,Red-billed Curassow
313,White-breasted Guineafowl
314,Black Guineafowl
315,Helmeted Guineafowl
316,Plumed Guineafowl
317,Crested Guineafowl
318,Vulturine Guineafowl
319,Stone Partridge
320,Nahan's Partridge
321,Bearded Wood Partridge
322,Long-tailed Wood Partridge
323,Buffy-crowned Wood Partridge
324,Mountain Quail
325,Scaled Quail
326,Elegant Quail
327,California Quail
328,Gambel's Quail
329,Banded Quail
330,Northern Bobwhite
331,Yucatan Bobwhite
332,Spot-bellied Bobwhite
333,Crested Bobwhite
334,Marbled Wood Quail
335,Spot-winged Wood Quail
336,Black-eared Wood Quail
337,Rufous-fronted Wood Quail
338,Black-fronted Wood Quail
339,Chestnut Wood Quail
340,Dark-backed Wood Quail
341,Rufous-breasted Wood Quail
342,Tacarcuna Wood Quail
343,Gorgeted Wood Quail
344,Venezuelan Wood Quail
345,Black-breasted Wood Quail
346,Stripe-faced Wood Quail
347,Starred Wood Quail
348,Spotted Wood Quail
349,Singing Quail
350,Montezuma Quail
351,Ocellated Quail
352,Tawny-faced Quail
353,Wild Turkey
354,Ocellated Turkey
355,Ruffed Grouse
356,Hazel Grouse
357,Chinese Grouse
358,Siberian Grouse
359,Spruce Grouse
360,Western Capercaillie
361,Black-billed Capercaillie
362,Black Grouse
363,Caucasian Grouse
364,Sage Grouse
365,Gunnison Grouse
366,Dusky Grouse
367,Sooty Grouse
368,Sharp-tailed Grouse
369,Lesser Prairie Chicken
370,Greater Prairie Chicken
371,White-tailed Ptarmigan
372,Rock Ptarmigan
373,Willow Ptarmigan
374,Snow Partridge
375,Verreaux's Monal-Partridge
376,Szechenyi's Monal-Partridge
377,Caucasian Snowcock
378,Caspian Snowcock
379,Himalayan Snowcock
380,Tibetan Snowcock
381,Altai Snowcock
382,Rock Partridge
383,Chukar Partridge
384,Przevalski's Partridge
385,Philby's Partridge
386,Barbary Partridge
387,Red-legged Partridge
388,Arabian Partridge
389,See-see Partridge
390,Sand Partridge
391,Black Francolin
392,Painted Francolin
393,Chinese Francolin
394,Grey Francolin
395,Swamp Francolin
396,Latham's Francolin
397,Coqui Francolin
398,White-throated Francolin
399,Schlegel's Francolin
400,Ring-necked Francolin
401,Grey-winged Francolin
402,Red-winged Francolin
403,Finsch's Francolin
404,Shelley's Francolin
405,Moorland Francolin
406,Orange River Francolin
407,Crested Francolin
408,Scaly Francolin
409,Ahanta Francolin
410,Grey-striped Francolin
411,Hildebrandt's Francolin
412,Double-spurred Francolin
413,Heuglin's Francolin
414,Clapperton's Francolin
415,Harwood's Francolin
416,Swierstra's Francolin
417,Mount Cameroon Francolin
418,Handsome Francolin
419,Jackson's Francolin
420,Chestnut-naped Francolin
421,Black-fronted Francolin
422,Djibouti Francolin
423,Erckel's Francolin
424,Hartlaub's Spurfowl
425,Red-billed Spurfowl
426,Cape Spurfowl
427,Natal Spurfowl
428,Yellow-necked Spurfowl
429,Grey-breasted Spurfowl
430,Red-necked Spurfowl
431,Swainson's Spurfowl
432,Grey Partridge
433,Daurian Partridge
434,Tibetan Partridge
435,Long-billed Partridge
436,Hose's Partridge
437,Madagascan Partridge
438,Black Partridge
439,Common Quail
440,Japanese Quail
441,Rain Quail
442,Harlequin Quail
443,Stubble Quail
444,New Zealand Quail
445,Brown Quail
446,King Quail
447,Blue Quail
448,Snow Mountain Quail
449,Jungle Bush Quail
450,Rock Bush Quail
451,Painted Bush Quail
452,Manipur Bush Quail
453,Himalayan Quail
454,Udzungwa Forest Partridge
455,Rubeho Forest Partridge
456,Hill Partridge
457,Rufous-throated Partridge
458,White-cheeked Partridge
459,Taiwan Partridge
460,Chestnut-breasted Partridge
461,Bar-backed Partridge
462,Sichuan Partridge
463,White-necklaced Partridge
464,Orange-necked Partridge
465,Chestnut-headed Partridge
466,Siamese Partridge
467,Malaysian Partridge
468,Roll's Partridge
469,Sumatran Partridge
470,Grey-breasted Partridge
471,Chestnut-bellied Partridge
472,Red-billed Partridge
473,Red-breasted Partridge
474,Hainan Partridge
475,Chestnut-necklaced Partridge
476,Green-legged Partridge
477,Ferruginous Partridge
478,Crimson-headed Partridge
479,Crested Partridge
480,Mountain Bamboo Partridge
481,Chinese Bamboo Partridge
482,Taiwan Bamboo Partridge
483,Red Spurfowl
484,Painted Spurfowl
485,Sri Lanka Spurfowl
486,Blood Pheasant
487,Western Tragopan
488,Satyr Tragopan
489,Blyth's Tragopan
490,Temminck's Tragopan
491,Cabot's Tragopan
492,Koklass Pheasant
493,Himalayan Monal
494,Sclater's Monal
495,Chinese Monal
496,Red Junglefowl
497,Grey Junglefowl
498,Sri Lanka Junglefowl
499,Green Junglefowl
500,Kalij Pheasant
501,Silver Pheasant
502,Edwards's Pheasant
503,Swinhoe's Pheasant
504,unknown
505,Salvadori's Pheasant
506,Crestless Fireback
507,Crested Fireback
508,Siamese Fireback
509,Bulwer's Pheasant
510,White Eared Pheasant
511,Tibetan Eared Pheasant
512,Brown Eared Pheasant
513,Blue Eared Pheasant
514,Cheer Pheasant
515,Elliot's Pheasant
516,Mrs. Hume's Pheasant
517,Mikado Pheasant
518,Copper Pheasant
519,Reeves's Pheasant
520,Common Pheasant
521,Green Pheasant
522,Golden Pheasant
523,Lady Amherst's Pheasant
524,Bronze-tailed Peacock-Pheasant
525,Mountain Peacock-Pheasant
526,Germain's Peacock-Pheasant
527,Grey Peacock-Pheasant
528,Hainan Peacock-Pheasant
529,Malayan Peacock-Pheasant
530,Bornean Peacock-Pheasant
531,Palawan Peacock-Pheasant
532,Crested Argus
533,Great Argus
534,Indian Peafowl
535,Green Peafowl
536,Congo Peafowl
537,Red-throated Loon
538,Black-throated Loon
539,Pacific Loon
540,Common Loon
541,Yellow-billed Loon
542,King Penguin
543,Emperor Penguin
544,Gentoo Penguin
545,Adelie Penguin
546,Chinstrap Penguin
547,Fiordland Penguin
548,Snares Penguin
549,Erect-crested Penguin
550,Southern Rockhopper Penguin
551,Northern Rockhopper Penguin
552,Royal Penguin
553,Macaroni Penguin
554,Yellow-eyed Penguin
555,Little Penguin
556,African Penguin
557,Magellanic Penguin
558,Humboldt Penguin
559,Galapagos Penguin
560,Wilson's Storm Petrel
561,Elliot's Storm Petrel
562,Pincoya Storm Petrel
563,Grey-backed Storm Petrel
564,White-faced Storm Petrel
565,White-bellied Storm Petrel
566,Black-bellied Storm Petrel
567,New Zealand Storm Petrel
568,Polynesian Storm Petrel
569,Laysan Albatross
570,Black-footed Albatross
571,Waved Albatross
572,Short-tailed Albatross
573,Wandering Albatross
574,Antipodean Albatross
575,Amsterdam Albatross
576,Tristan Albatross
577,Southern Royal Albatross
578,Northern Royal Albatross
579,Sooty Albatross
580,Light-mantled Albatross
581,Black-browed Albatross
582,Campbell Albatross
583,Shy Albatross
584,Chatham Albatross
585,Salvin's Albatross
586,Grey-headed Albatross
587,Atlantic Yellow-nosed Albatross
588,Indian Yellow-nosed Albatross
589,Buller's Albatross
590,European Storm Petrel
591,Least Storm Petrel
592,Wedge-rumped Storm Petrel
593,Band-rumped Storm Petrel
594,Monteiro's Storm Petrel
595,Cape Verde Storm Petrel
596,Swinhoe's Storm Petrel
597,Leach's Storm Petrel
598,Townsend's Storm Petrel
599,Ainley's Storm Petrel
600,Markham's Storm Petrel
601,Tristram's Storm Petrel
602,Black Storm Petrel
603,Guadalupe Storm Petrel
604,Matsudaira's Storm Petrel
605,Ashy Storm Petrel
606,Hornby's Storm Petrel
607,Fork-tailed Storm Petrel
608,Southern Giant Petrel
609,Northern Giant Petrel
610,Northern Fulmar
611,Southern Fulmar
612,Antarctic Petrel
613,Cape Petrel
614,Snow Petrel
615,Blue Petrel
616,Broad-billed Prion
617,Salvin's Prion
618,Antarctic Prion
619,Slender-billed Prion
620,Fairy Prion
621,Fulmar Prion
622,Kerguelen Petrel
623,Great-winged Petrel
624,White-headed Petrel
625,Grey-faced Petrel
626,Atlantic Petrel
627,Providence Petrel
628,Magenta Petrel
629,Murphy's Petrel
630,Soft-plumaged Petrel
631,Zino's Petrel
632,Fea's Petrel
633,Desertas Petrel
634,Bermuda Petrel
635,Black-capped Petrel
636,Jamaican Petrel
637,Juan Fernandez Petrel
638,Vanuatu Petrel
639,Kermadec Petrel
640,Herald Petrel
641,Trindade Petrel
642,Henderson Petrel
643,Phoenix Petrel
644,Barau's Petrel
645,Hawaiian Petrel
646,Galapagos Petrel
647,Mottled Petrel
648,White-necked Petrel
649,Black-winged Petrel
650,Chatham Petrel
651,Bonin Petrel
652,Gould's Petrel
653,Collared Petrel
654,Cook's Petrel
655,De Filippi's Petrel
656,Stejneger's Petrel
657,Pycroft's Petrel
658,Mascarene Petrel
659,St. Helena Petrel
660,Tahiti Petrel
661,Beck's Petrel
662,Fiji Petrel
663,Grey Petrel
664,White-chinned Petrel
665,Spectacled Petrel
666,Black Petrel
667,Westland Petrel
668,Streaked Shearwater
669,Scopoli's Shearwater
670,Cory's Shearwater
671,Cape Verde Shearwater
672,Wedge-tailed Shearwater
673,Buller's Shearwater
674,Sooty Shearwater
675,Short-tailed Shearwater
676,Pink-footed Shearwater
677,Flesh-footed Shearwater
678,Great Shearwater
679,Christmas Shearwater
680,Manx Shearwater
681,Yelkouan Shearwater
682,Balearic Shearwater
683,Bryan's Shearwater
684,Black-vented Shearwater
685,Townsend's Shearwater
686,Newell's Shearwater
687,Rapa Shearwater
688,Fluttering Shearwater
689,Hutton's Shearwater
690,Audubon's Shearwater
691,Persian Shearwater
692,Tropical Shearwater
693,Galapagos Shearwater
694,Bannerman's Shearwater
695,Heinroth's Shearwater
696,Little Shearwater
697,Subantarctic Shearwater
698,Barolo Shearwater
699,Boyd's Shearwater
700,Peruvian Diving Petrel
701,Magellanic Diving Petrel
702,South Georgia Diving Petrel
703,Common Diving Petrel
704,Bulwer's Petrel
705,Olson's Petrel
706,Jouanin's Petrel
707,Alaotra Grebe
708,Little Grebe
709,Tricolored Grebe
710,Australasian Grebe
711,Madagascan Grebe
712,Least Grebe
713,Pied-billed Grebe
714,Atitlan Grebe
715,White-tufted Grebe
716,Titicaca Grebe
717,Hoary-headed Grebe
718,New Zealand Grebe
719,Great Grebe
720,Red-necked Grebe
721,Great Crested Grebe
722,Horned Grebe
723,Black-necked Grebe
724,Colombian Grebe
725,Silvery Grebe
726,Junin Grebe
727,Hooded Grebe
728,Western Grebe
729,Clark's Grebe
730,Greater Flamingo
731,American Flamingo
732,Chilean Flamingo
733,Lesser Flamingo
734,Andean Flamingo
735,James's Flamingo
736,Red-billed Tropicbird
737,Red-tailed Tropicbird
738,White-tailed Tropicbird
739,Wood Stork
740,Milky Stork
741,Yellow-billed Stork
742,Painted Stork
743,Asian Openbill
744,African Openbill
745,Black Stork
746,Abdim's Stork
747,Woolly-necked Stork
748,Storm's Stork
749,Maguari Stork
750,White Stork
751,Oriental Stork
752,Black-necked Stork
753,Saddle-billed Stork
754,Jabiru
755,Lesser Adjutant
756,Greater Adjutant
757,Marabou Stork
758,African Sacred Ibis
759,Malagasy Sacred Ibis
760,Reunion Ibis
761,Black-headed Ibis
762,Australian White Ibis
763,Straw-necked Ibis
764,Red-naped Ibis
765,White-shouldered Ibis
766,Giant Ibis
767,Northern Bald Ibis
768,Southern Bald Ibis
769,Crested Ibis
770,Olive Ibis
771,Sao Tome Ibis
772,Spot-breasted Ibis
773,Hadada Ibis
774,Wattled Ibis
775,Plumbeous Ibis
776,Buff-necked Ibis
777,Black-faced Ibis
778,Andean Ibis
779,Sharp-tailed Ibis
780,Green Ibis
781,Bare-faced Ibis
782,American White Ibis
783,Scarlet Ibis
784,Glossy Ibis
785,White-faced Ibis
786,Puna Ibis
787,Madagascan Ibis
788,Eurasian Spoonbill
789,Black-faced Spoonbill
790,African Spoonbill
791,Royal Spoonbill
792,Yellow-billed Spoonbill
793,Roseate Spoonbill
794,Forest Bittern
795,White-crested Tiger Heron
796,Rufescent Tiger Heron
797,Fasciated Tiger Heron
798,Bare-throated Tiger Heron
799,Agami Heron
800,Boat-billed Heron
801,Zigzag Heron
802,Eurasian Bittern
803,Australasian Bittern
804,American Bittern
805,Pinnated Bittern
806,Stripe-backed Bittern
807,Least Bittern
808,Little Bittern
809,Black-backed Bittern
810,New Zealand Bittern
811,Yellow Bittern
812,Von Schrenck's Bittern
813,Cinnamon Bittern
814,Dwarf Bittern
815,Black Bittern
816,White-eared Night Heron
817,Japanese Night Heron
818,Malayan Night Heron
819,White-backed Night Heron
820,Black-crowned Night Heron
821,Ascension Night Heron
822,Reunion Night Heron
823,Mauritius Night Heron
824,Rodrigues Night Heron
825,Nankeen Night Heron
826,Yellow-crowned Night Heron
827,Bermuda Night Heron
828,Green Heron
829,Lava Heron
830,Striated Heron
831,Squacco Heron
832,Indian Pond Heron
833,Chinese Pond Heron
834,Javan Pond Heron
835,Malagasy Pond Heron
836,Rufous-bellied Heron
837,Western Cattle Egret
838,Eastern Cattle Egret
839,Grey Heron
840,Great Blue Heron
841,Cocoi Heron
842,White-necked Heron
843,Black-headed Heron
844,Humblot's Heron
845,White-bellied Heron
846,Great-billed Heron
847,Goliath Heron
848,Purple Heron
849,Great Egret
850,Intermediate Egret
851,Capped Heron
852,Whistling Heron
853,Pied Heron
854,White-faced Heron
855,Reddish Egret
856,Black Heron
857,Slaty Egret
858,Tricolored Heron
859,Little Blue Heron
860,Snowy Egret
861,Little Egret
862,Western Reef Heron
863,Dimorphic Egret
864,Pacific Reef Heron
865,Chinese Egret
866,Hamerkop
867,Shoebill
868,Great White Pelican
869,Pink-backed Pelican
870,Spot-billed Pelican
871,Dalmatian Pelican
872,Australian Pelican
873,American White Pelican
874,Brown Pelican
875,Peruvian Pelican
876,Ascension Frigatebird
877,Christmas Frigatebird
878,Magnificent Frigatebird
879,Great Frigatebird
880,Lesser Frigatebird
881,Northern Gannet
882,Cape Gannet
883,Australasian Gannet
884,Abbott's Booby
885,Blue-footed Booby
886,Peruvian Booby
887,Masked Booby
888,Nazca Booby
889,Red-footed Booby
890,Brown Booby
891,Little Pied Cormorant
892,Reed Cormorant
893,Crowned Cormorant
894,Little Cormorant
895,Pygmy Cormorant
896,Red-legged Cormorant
897,Flightless Cormorant
898,Bank Cormorant
